type,W_2020,W_2019,W_2018,W_2017,W_2016,W_2015,W_2014,W_2013,W_2012,W_2011,W_2010,W_2009,W_2008,W_2007,W_2006,W_2005,W_2004,W_2003,W_2002,W_2001,W_2000,S_2020,S_2019,S_2018,S_2017,S_2016,S_2015,S_2014,S_2013,S_2012,S_2011,S_2010,S_2009,S_2008,S_2007,S_2006,S_2005,S_2004,S_2003,S_2002,S_2001,S_2000
1,1.4749677799091006,0.3008064299330701,0.8639441548802783,-0.5233639472461126,1.5879178217248837,1.4023131798843431,-0.3392466216870823,0.2789216264386081,0.5450323544241038,0.4374640963158269,4.2282889658831735,1.7214796809919906,-0.1214163102527189,0.2051779788065615,0.0627082294967391,0.24459446772843116,0.18663909764495748,0.5397672699771345,0.680049415014397,0.8743301150924391,0.2613406212502897,0.2969462127854742,0.5718798296934545,-0.0067705653270065435,0.7811576905552463,-0.03707585538637159,1.6484975209328208,0.019531270739366186,1.3951872504249616,-0.3435447557871197,1.8370673931641304,0.31820564170284993,1.6269697429283985,0.1101350472473248,1.0475491283550713,0.399261670192275,0.6755063088661061,1.6369288448110657,0.20023525031730197,-0.1889023031155617,0.740361232765532,0.89454401742341
2,3.023389498871812,0.9020428306484964,0.44636516255068526,-0.2521219460410478,5.1954976884359665,0.6371742318158604,-0.11473352775332946,0.19979018338433882,1.476697262957902,2.082095169442924,9.02193466312838,2.532609349789344,0.1541705593776777,2.611712414542567,0.23525217084617134,0.1286711870484273,2.0496151736392636,0.23465257043601184,5.512896345945264,-0.002816666394743099,0.5411359509796613,0.778011043349631,0.2925788874650959,0.778360346183985,0.8923219262241745,0.5343092280246736,1.1135494109392727,0.2661985762200672,0.8850137213450507,0.11337134891454917,1.4702441794826253,1.9509787946858552,1.2791612647713264,0.05531924969726858,0.8179333134736025,0.2461078453832053,1.247722105538475,0.6738982285275755,0.07650892210649218,0.824148281850928,0.7190972904728006,2.1102670166660715
3,0.739852300416418,0.4077690440826898,1.0712541365360355,-0.5145313834426118,0.47169622301943925,0.6411820771098358,-0.23953154692007395,0.2710904474616664,0.027913276875820365,-0.12781248980296003,-0.19285901526608673,3.9976299839147953,-0.36689479519189827,0.30150257757680876,0.09508265799038054,0.021114081972769132,0.20928388474905907,0.15994899842582216,1.079174263177808,-0.3723065761100426,0.5932686041175844,-0.21786567514670055,0.38211252841014876,-0.22166987801937002,0.7531741836265725,-0.21901581640171072,0.19387579531043464,0.13911382800274535,0.6348954465622929,-0.23293852566436996,-0.09036572795810176,0.413414451129299,0.0021434055334850445,0.49149851764151803,1.0296858243283944,0.07329493592416746,0.6760688921512596,2.014899418420251,-0.043798848171230316,-0.5063072304381102,1.3861765454708395,-0.20340365301328187
4,2.9244386456403024,0.25903273313429864,1.3077766089004856,-0.5632938871408878,1.1206428849507928,2.348029083665718,-0.48490368579930215,0.5212720774718624,-0.06384507271271832,0.7191464212744224,-0.4829076606332981,2.1125785296908774,-0.004214561272103566,1.3416210236886847,0.06401771960661443,-0.2891661776449378,1.5590639882259807,0.09037003696851119,2.3871565062034525,-0.08230583428909204,0.22217051039882735,-0.19640760705259633,0.9793342377302316,-0.18086936320608604,0.3198316212389189,-0.08095924587240008,0.7178693534211594,0.2867316619108108,0.1722002339681717,-0.44827815769040946,1.0286464214335227,1.0305193893175246,0.1041993560452743,0.4136687187860809,0.601181497414759,-0.10963087266259752,0.5116947324672638,1.368918390564267,0.09024794596467445,-0.4102694392520799,0.61342365528467,0.9007957151241339
5,0.7217942205322391,0.508154968988544,0.9305547450184204,-0.5225858184918248,1.0590006735105961,1.6709027030821086,-0.49736952061734313,0.6358181365920491,-0.051043152624821356,0.7007638821760478,-0.14253039449271096,1.1746699669231848,0.14785108395728389,0.4771789671861117,-0.18900590902129297,-0.1681557100100405,1.2208896788553922,0.22140154940022463,1.4944371907196958,0.7957341526264534,-0.01034829081831661,-0.02341923194294281,0.7501834986878052,-0.1172639745183851,0.2622438337933445,-0.058018712409149936,0.8153307382432997,0.09887407024567739,0.148353677160799,-0.4441834726530215,1.4933747235146282,0.46312992893425453,0.09347529208712504,0.37981413616369003,0.4378917567386131,0.2003870150944569,0.010814849983390924,1.5608120172900004,0.24668902241242732,-0.18737120833612247,0.32195348715516814,0.6379187896091262
6,2.616528268239185,0.7542813571050736,0.8719218027873307,-0.42733374104876315,1.1124543174610446,0.6491668630934562,-0.05303867498561407,0.47066514852791097,0.17167377466095424,0.5364226068914743,0.04752388608070113,3.4710945027738287,-0.2601546313499298,2.1225451173939276,0.12360713916716576,0.12839880624793343,1.2769837547234002,0.3453116667121855,1.5540554592995104,0.4129815156288789,1.2140280890486748,0.03742730121204913,0.29144704508410113,0.3383962359301879,0.42198849498818614,0.1395477524350629,0.5815917690395552,0.09938671562618864,0.5239373719061087,0.05327140895503974,0.10525615535573571,0.8565469673218477,0.2302370875429187,0.3232275691244812,0.6861833492133514,0.2994633590017295,0.5330186552829865,0.8641934998810005,0.24255046093334418,-0.20960033656330176,1.2741423204254667,0.9203370174924198
7,1.600782891194412,0.8774598155741594,0.2531182482852299,-0.3976066005769894,13.448258751000338,0.5640396483493225,0.34639092272506594,0.0502761116029999,1.937865937163985,0.911886897049463,4.2407540164384345,1.3223621969619659,0.31638809077134183,0.12072272699256731,-0.19973337829534454,0.42668454472363027,3.275544540215712,0.1963536151325521,0.4144621262776352,-0.07796183311867697,0.1533984639771693,-0.11175751756101326,0.5602550035886181,0.49912122687817223,0.40790182010270004,0.1398984516141,1.6496238140022184,-0.24838214493485228,2.544362043179246,-0.35547984277114764,1.4035924138788745,0.32910367835071075,1.3802832764597859,-0.1499630003953251,0.10809850649132464,1.1424535569409877,4.687568150836866,0.4854861005090981,0.8081689467749849,-0.1397460419439383,0.9270510086812512,0.05411786208721913
8,5.156193018399721,1.94367353354099,1.4370931276428192,-0.4449143796073773,9.436860852828698,0.6517618190333053,0.48012621435730046,0.05955668874783187,2.914022438224174,7.6360109543431,10.7596052176247,16.44148320919621,-0.29903747867488106,8.673309991599627,4.2173829560498834,-0.5236347659490448,3.8886528387108537,0.2392743995028869,15.377604454260071,0.2260604972400267,0.6589358495436011,1.757406883976097,0.9437622320098126,0.42094251036730285,0.5570771193567927,0.49142150568364146,0.4893607129524232,0.825108619499056,0.641867655143206,-0.05770758170960859,1.3686609758758428,8.85753067888693,1.7152559900976194,0.10680017320841986,3.7772442263147554,-0.11662791478615095,0.25356232631633185,4.7246021900688016,-0.14034417691342907,0.31762489238642716,0.13788320924483455,5.099723476015809
9,-0.46011131499391933,1.4745014246992736,0.3642200393908112,-0.16137275463742146,10.810189840554301,0.1414902117322132,0.2780067257995838,1.480102666730517,0.4594296927695697,0.14663004534293858,1.9472831887770923,0.16430662242735142,0.24405984189907193,-0.07698989474096701,0.013160780804834361,0.39055094124755135,2.5296457021372154,2.456926753826625,0.12070948552567917,-0.29993230474573795,5.040349161623289,0.9238762829871757,0.3307486949379792,1.3687650471998722,-0.2989821227587461,0.863460112856694,1.630734007868741,0.6416811386310288,0.006989737367089989,0.27475493381864197,1.124005426378272,0.7914265358711239,0.5672343884166574,0.3362523668058253,-0.04759782291361776,-0.0068700795271337475,1.2168698595618264,-0.1572347577479705,0.09447545653794917,-0.09574245113858174,1.1302829810406145,0.4781718513024815
10,1.880361944678531,0.9034048572543346,0.33951857218119097,-0.5681874262421887,2.4561285475081673,1.5772515524621593,-0.39227366775888334,0.2124298897781483,0.9407511751427153,0.6666351458538339,0.21395279328977518,1.8737970645110467,0.11202672370747276,1.0258120878533623,0.033448605260315435,-0.3663314891060685,0.1351917911848078,1.137799620439343,-0.26028647144902095,2.4911773020985004,1.3771210492720478,0.37506551441412495,0.5920282893892704,0.3255852879064598,-0.1576330608913508,-0.01483681675451151,1.6390184971074557,0.3759907148384639,-0.11706129052714666,-0.39219557214286144,1.7035169566454382,0.7058419659649319,-0.1873238513440556,0.31220179926714253,-0.28395849241372734,0.24856118988095438,0.5325561970184558,0.26397639955783464,0.23491983627664267,0.10619610501319418,0.3133249896067357,0.513657997250877
11,3.23033313102879,0.5803429274810785,0.6787347040372792,-0.5030070686890812,3.597447940329631,1.5362552714353916,-0.38237017194886275,0.24448352220201644,1.1259056831977265,0.3347442292007231,1.061515333909244,1.3851551323977127,0.11157571111318845,0.8723764999855083,-0.07884941888695043,-0.10512478931876018,0.8173653399985414,0.6711620195301156,0.4393195108129246,0.31708695513272694,0.5906655832197666,0.3820193861923633,0.4971388769048111,0.5373980333988575,0.4742314175637767,0.14076751792023892,1.021130531790889,0.38149755622863385,0.44795035133973854,-0.25250073732516154,0.8354539069227492,0.9073128229880058,0.22552926532295411,0.2536233355671492,0.25398303198452493,0.4730040840078148,0.5929632561507546,0.621921642229067,0.21736459466171948,0.6257350554289242,0.7731381906087178,0.6184142595560187
12,-0.6349940177912781,1.0386647248972014,-0.328276559154035,-0.32477642957957203,5.594429799631973,-0.2811273187679063,-0.04390001239856202,-0.21889827614774962,0.9782737105400966,-0.7158502396392784,7.9293745143443,-0.6033823275186223,0.6496194547609916,0.21722389867945316,-0.46764793881113964,0.6757280193782879,0.2847433535849852,0.5810492487139342,-0.5578742046002405,0.6428170217084729,-0.40285785788615985,7.285673278240216,0.3319426912175709,-0.35412064838656726,2.7475492065388636,3.259702589959469,1.7369842933050532,-0.09061443694343536,-0.6171057425194665,-0.016387946984733646,23.267042569118694,0.6465992259135225,1.2287985989684351,-0.6614173216308379,-0.01849053355446907,0.5810409576806148,3.7942515190008375,-0.3895082342620166,-0.35603803932549044,-0.10900590706532885,2.7774994952759373,0.3024443526714665
13,4.347746563654994,1.9592098394280244,0.7616083046916953,-0.48942396549186584,3.7308748360017026,0.6371308467633412,-0.08802364630776581,2.36937915579815,2.8841719046395182,1.6168192909614898,1.951783395883673,2.4054771551394767,-0.22269984712723662,3.344907231847463,0.7167738191242468,0.4223693473318439,-0.06161759147344697,3.2671500499227366,3.7333165110345297,2.645929055115269,4.347815664870024,1.1169667686558997,0.37024908036898246,0.41316866171577976,-0.32617458302373903,0.5771775661188148,1.264611071745863,0.997129761469963,-0.40463664984928915,-0.24508412911604519,1.7731760798325167,0.7357765700762033,-0.025200396083399013,0.20749753160590917,0.02721254892033598,-0.16976262646268936,1.7651456481983885,-0.24922469192936042,0.4760284686493641,-0.20206221517994086,0.5919218045603415,0.798838718508911
14,1.5734397347612004,1.1086062444855471,0.6336301863969318,-0.4594763200878829,19.419589812803956,1.6401676947110382,0.1628446954161269,-0.0408218901690767,1.905249684640712,0.820203878208835,4.500243967347929,1.3334119748128725,-0.012976289801778475,0.39571042499162046,0.14311963232772182,-0.029839818750445033,6.547188274730981,0.46489184066461986,0.8719188497408349,1.7206114835989872,0.03547516370983973,0.19741337644554582,0.9183559239713286,-0.19354484613581316,0.4238569922782102,-0.10559665653104006,1.5424353864373097,0.013581082699358963,1.330767939965215,-0.13562272256476288,1.2783868727432184,1.3224375996622417,0.9874918395416142,0.0696552219932823,1.8479516383484487,0.34036445408667615,0.1949257874423997,1.5830042389517622,0.39997384805342645,-0.04188353558732057,0.5440336218999356,0.7013329759598829
15,0.5380149703673995,0.3685903206429143,0.11652187033306291,-0.5448473229670407,1.1982860322534559,0.884704213579319,-0.4174629230762343,0.403546490175611,0.28628169326790437,-0.030553052699156147,-0.3062489241262193,0.8784576665748479,0.3621155747478278,-0.007917239132520373,-0.3057223105680543,-0.21883505318859034,0.6396138644660565,0.1509098970077692,-0.07239236732971259,0.057787514791853074,0.3058361458844806,-0.01575324956078901,0.8669815394659567,-0.0569039342799433,-0.06688506779911293,-0.1732886478837797,1.5526638909443236,-0.20230952349857825,0.3634635697571154,-0.574350262424465,1.2186672192203412,0.4995317348244108,0.04664206606002842,0.2316946695843558,-0.28318919106352036,0.5672388628022298,-0.3394120597351341,0.8807469000610754,0.19698475432057472,0.0055248734549477934,0.1266687367026176,0.48637797534120647
